generation,best_fitness,avg_fitness,population_diversity,species_count,avg_complexity,novelty_score,timestamp
34,120.46124272609026,107.66051862838096,4.64485623766946,8,0.8307775156514134,2.226505043644792,1762225415.301587
35,130.15545078563343,111.70177583540863,4.97867249089071,8,0.8433012711093535,2.0206286035138348,1762225415.3025787
36,136.32828680352412,115.84758426488575,5.234957311520654,8,0.8452402058010972,2.072904214738564,1762225415.30358
37,139.0799281953778,120.52779733106685,4.966471464168671,8,0.8460081638186321,2.340106533090548,1762225415.3045511
38,144.31719051233694,125.00724650455516,5.422627341678061,8,0.8435311191049575,2.2397245867441526,1762225415.3055282
39,144.31719051233694,130.21770438729942,5.01399671007242,8,0.8318383364346299,2.6052289413721326,1762225415.306517
40,159.39306246396362,134.9379156174478,5.002165063437143,8,0.8250317929991533,2.3601056150741897,1762225415.3075159
41,159.39306246396362,139.44376274066457,4.888136613355109,8,0.828213636082725,2.252923561608384,1762225415.3085136
42,164.6240683554648,143.51832313714553,5.214444633889722,8,0.8323174083520508,2.037280198240481,1762225415.3095815
43,164.70267587390876,148.07739273271508,5.341327824049005,8,0.8342001260988596,2.279534797784777,1762225415.3095815
44,164.70267587390876,153.14188611684065,5.5841583107787995,8,0.8284547050862575,2.5322466920627846,1762225415.310594
45,176.12118972805322,157.94849915925028,4.657985393101883,8,0.8231657694243033,2.4033065212048115,1762225415.3115501
46,179.67348039879397,161.47545802314548,3.5333798089326214,8,0.8244085540347273,1.7634794319476015,1762225415.312578
47,179.67348039879397,164.2581204971987,3.9699788204685236,8,0.8292089764301545,1.3913312370266055,1762225415.3135142
48,190.81033788032656,168.04610295378185,4.148244225966635,8,0.8297747029839606,1.8939912282915827,1762225415.3145373
49,193.08924853829058,171.86019391376556,4.845545088019876,9,0.8244952492209983,2.407045479991851,1762225415.3155208
50,195.725046288615,176.24511341062873,5.459251726016104,10,0.8272360961031976,2.692459748431588,1762225415.316513
51,195.9925440792262,181.18130291409554,5.8764531228904096,9,0.8239361374584635,2.9680947517334033,1762225415.3175113
52,208.20600658911604,187.08243146491847,5.964612813516502,9,0.8178359641547406,2.950564275411466,1762225415.3185105
53,208.20600658911604,192.74923939685843,5.370049209199373,9,0.8137465762096752,2.8334039659699783,1762225415.3197067
54,208.20600658911604,197.6354676414107,4.473118864751089,9,0.811480876815259,2.4431141222761426,1762225415.3206933
55,208.20600658911604,201.8478557227188,3.7235450347607215,9,0.8025344570318598,2.106194040654046,1762225415.3216977
56,222.4971885788173,205.26418928447748,3.1344186439884467,9,0.7962120831376066,1.7081667808793384,1762225415.322696
57,222.4971885788173,207.86921151080665,3.1691889809296994,9,0.7931157790617142,1.3025111131645843,1762225415.3236957
58,222.4971885788173,210.74386562650102,3.7847725048488585,9,0.7945989713125148,1.4373270578471846,1762225415.3246958
59,233.83443582240304,214.05918291275,4.242550547668742,9,0.8068557957907861,1.657658643124492,1762225415.3256965
60,233.83443582240304,217.66491921383016,3.9563456665578665,9,0.8180128710186084,1.8028681505400783,1762225415.3262086
61,233.83443582240304,221.10473655847346,3.789290499244591,9,0.812755286761283,1.719908672321651,1762225415.327227
62,233.83443582240304,224.3712313773307,3.9192345347260513,9,0.8022519701985608,1.6332474094286198,1762225415.3282206
63,238.90730478578078,228.2294489113029,3.9666888412046295,9,0.8006362046046825,1.9291087669861042,1762225415.3294096
64,241.9551640725071,231.8417680073973,2.8406765701370706,9,0.8050318245311898,1.8061595480471908,1762225415.330409
65,245.76065999754434,234.1635484598417,2.4495156424954905,9,0.8082152662850698,1.1608902262222074,1762225415.330409
66,248.49612885993906,236.29780223853012,3.0719540918071306,9,0.8039894980541927,1.067126889344209,1762225415.3314135
67,248.49612885993906,238.95720042579856,3.2882303024462867,9,0.8002670239523361,1.3296990936342183,1762225415.3324137
68,251.39990335180855,241.7477611646211,2.9980220234486183,9,0.8069954794735675,1.3952803694112674,1762225415.3334043
69,253.4586997622672,244.65656801474935,2.86682251159564,9,0.8044768062100845,1.454403425064129,1762225415.334409
70,255.34656421051415,246.98989206067873,3.0214425098576836,9,0.795984810913119,1.1666620229646867,1762225415.3354087
71,263.90222623015507,249.62696454543493,2.5406132966028228,9,0.7921812699832279,1.3185362423781015,1762225415.3364086
72,264.3655500072754,251.99035247783448,2.6727657077485514,9,0.7857837599971748,1.1816939661997736,1762225415.3374085
73,264.3655500072754,254.38489828841907,2.7864683658343217,9,0.7820495452902209,1.1972729052922944,1762225415.3374085
74,268.8083704943231,257.03804864950644,2.971058345177108,9,0.784869259036172,1.326575180543685,1762225415.3385768
75,269.17984208813294,259.8126445754906,2.8303924393793847,9,0.7820097160595243,1.3872979629920792,1762225415.339569
76,269.96531332907716,262.46073491291315,3.3956199829496176,9,0.7777566958980332,1.3240451687112795,1762225415.3405821
77,278.15131110190396,265.6948575291758,2.835599194459786,9,0.7781472272532969,1.6170613081313263,1762225415.3415754
78,278.15131110190396,267.8327373037763,2.7501889996662663,9,0.7771201279526644,1.068939887300246,1762225415.3425756
79,278.59757575827155,270.11395290065127,2.8292994741163917,9,0.7840412784359989,1.140607798437486,1762225415.3435752
80,280.28853573227127,272.75971834904203,2.847413237714001,9,0.7845298021596909,1.3228827241953809,1762225415.3435752
81,288.4242456797896,275.36037942972695,2.990853358154903,9,0.7819828237247736,1.3003305403424577,1762225415.3445752
82,288.4242456797896,278.28594515368087,2.8698047486921436,9,0.7784890287252884,1.4627828619769616,1762225415.3455749
83,294.47712702574944,280.69888804244806,3.2317361424183044,9,0.777180328622346,1.2064714443835953,1762225415.3465705
84,298.131668632622,283.93182846247146,3.3903662051828416,9,0.7777875137307501,1.6164702100116983,1762225415.3475797
85,298.131668632622,287.1114762577722,2.849982410716324,9,0.7696881202742765,1.5898238976503762,1762225415.3488657
86,298.131668632622,290.01352949563744,2.7113601105308356,10,0.7695349073040522,1.951026618932616,1762225415.3488657
87,300.41540627501115,292.8508163090018,2.5702062216626356,10,0.7695068379946957,1.418643406682179,1762225415.3498647
88,301.6129755423657,295.3630085006272,2.078817778743822,10,0.7741481952055533,1.256096095812694,1762225415.3508644
89,303.3503198621012,297.39019517746675,2.0744967693713177,10,0.7727244674963849,1.0135933384197813,1762225415.3518643
90,305.3745183294721,299.3404048159216,2.0725380464527876,10,0.7685509241580232,0.9751048192274254,1762225415.3528645
91,306.5597194332677,300.8326608962034,1.8859602005915181,10,0.7560083034433861,0.7461280401408885,1762225415.3538597
92,311.50875969601,302.3095204583203,1.8614635065046785,10,0.755491485021437,0.7384297810584712,1762225415.3538597
93,311.50875969601,303.80121531431826,1.8117661997034133,10,0.7479020098845323,0.7458474279989673,1762225415.3548665
94,311.50875969601,305.48220972666195,1.7462795020905824,10,0.745039308062482,0.8404972061718468,1762225415.3558645
95,313.69604625620406,307.273704700373,1.9379903901185862,10,0.7380979310847022,0.8957474868555266,1762225415.3568645
96,315.79683014307363,309.2210187462555,2.2381892415138442,10,0.7299043160150155,0.9736570229412393,1762225415.3581443
97,319.80190725601506,311.1559617712361,1.9547033682766635,10,0.7296957474707604,0.9674715124903059,1762225415.3581443
98,321.94094540869867,313.1345448647895,1.964342579223163,10,0.7335678064980155,0.9892915467767125,1762225415.359143
99,321.94094540869867,315.02912707008136,1.9761832053522819,10,0.7361168260262814,0.9472911026459201,1762225415.3601363
